REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,YEAR,DATE_RANGE,MONTH,DAY,FID,ANNUAL_COS,REPAIR_COS,REACTIVATI,longitude,latitude,session_source_key
ODOT2011,LS_1458,Oregon Department of Transportation, ,SL035-0051-82LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF contain in ditch;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:51.82;Frequency:every yr;,0, , , ,1432,0.0,0.0, ,-123.71202451342073,43.00232302724946,portal_dogami_slido
ODOT2011,LS_1459,Oregon Department of Transportation, ,SL035-0057-16RE1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF contain in ditch;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:57.16;Frequency:3 times a yr;,0, , , ,1433,0.0,0.0, ,-123.65164413270155,43.06285818212637,portal_dogami_slido
ODOT2011,LS_1460,Oregon Department of Transportation, ,SL035-0057-17LW1, ,0,0,0.0,0, ,Rockfall, , ,0,0, ,Road Impact:RF contain in ditch;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:57.17;Frequency:3 times a yr;,0, , , ,1434,0.0,0.0, ,-123.65168616604721,43.063109917238535,portal_dogami_slido
ODOT2011,LS_1461,Oregon Department of Transportation, ,SL035-0057-42LW1, ,0,0,0.0,0, ,Landslide, , ,0,0, ,Road Impact:LS affects shoulder;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:57.42;Frequency:every 5 yrs or less;,0, , , ,1435,0.0,0.0, ,-123.64786245323859,43.06514862440295,portal_dogami_slido
ODOT2011,LS_1462,Oregon Department of Transportation, ,SL035-0057-67BB1, ,0,0,0.0,0, ,Landslide, , ,0,0, ,Road Impact:LS close 3-10mi det;Lanes Affected:3;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:57.67;Frequency:every 5 yrs or less;,0, , , ,1436,0.0,0.0, ,-123.64303374473594,43.06462358199027,portal_dogami_slido
ODOT2011,LS_1463,Oregon Department of Transportation, ,SL035-0057-82RE1, ,0,0,0.0,0, ,Fill Failure, , ,0,0, ,Road Impact:LS leaves 2-way traf;Lanes Affected:1;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:57.82;Frequency:every 5 yrs or less;,0, , , ,1437,0.0,0.0, ,-123.6403183429241,43.065486821392504,portal_dogami_slido
ODOT2011,LS_1464,Oregon Department of Transportation, ,SL035-0058-13BB1, ,0,0,0.0,0, ,Fill Failure, , ,0,0, ,Road Impact:LS close 3-10mi det;Lanes Affected:3;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:58.13;Frequency:every 5 yrs or less;,0, , , ,1438,0.0,0.0, ,-123.63634115607891,43.06882929511634,portal_dogami_slido
ODOT2011,LS_1465,Oregon Department of Transportation, ,SL035-0058-21LW1, ,0,0,0.0,0, ,Landslide, , ,0,0, ,Road Impact:LS affects shoulder;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:58.21;Frequency:every 2 yrs;,0, , , ,1439,0.0,0.0, ,-123.63505590911814,43.06906828990567,portal_dogami_slido
ODOT2011,LS_1466,Oregon Department of Transportation, ,SL035-0058-46LW1, ,0,0,0.0,0, ,Landslide, , ,0,0, ,Road Impact:LS affects shoulder;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:58.46;Frequency:every 5 yrs or less;,0, , , ,1440,0.0,0.0, ,-123.63114912317053,43.06698128209547,portal_dogami_slido
ODOT2011,LS_1467,Oregon Department of Transportation, ,SL035-0058-46RE1, ,0,0,0.0,0, ,Fill Failure, , ,0,0, ,Road Impact:LS leaves 2-way traf;Lanes Affected:1;, , Hwy Name:Coos Bay-Roseburg; Hwy Number:035;Mile Post:58.46;Frequency:every 5 yrs or less;,0, , , ,1441,0.0,0.0, ,-123.63127525567721,43.06692232363603,portal_dogami_slido
